District LEA,NCES LEA ID,District Description,Mailing Address
0901000,0505170,Dermott School District,"525 E Speedway Hwy 35
Dermott
AR - 71638"
5901000,0505190,Des Arc School District,"600 Main St
Des Arc
AR - 72040"
0101000,0500001,Dewitt School District,"422 W First
Dewitt
AR - 72042"
3102000,0505340,Dierks School District,"900 Old Hwy 70 W
Dierks
AR - 71833"
3502000,0505410,Dollarway School District,"4900 Dollarway Rd
Pine Bluff
AR - 71602"
5802000,0505430,Dover School District,"9371 Market St
Dover
AR - 72837"
2202000,0505470,Drew Central School District,"250 University Dr
Monticello
AR - 71655"
2104000,0505500,Dumas School District,"213 Adams St
Dumas
AR - 71639"
1802000,0505550,Earle School District,"1401 Third St
Earle
AR - 72331"
5301000,0505580,East End School District,"114 Panther Dr
Bigelow
AR - 72016"
5608000,0500048,East Poinsett Co. School Dist.,"502 Mcclellan St
Lepanto
AR - 72354"
7001000,0505680,El Dorado School District,"200 W Oak St
El Dorado
AR - 71730"
7201000,0505760,Elkins School District,"349 N Center
Elkins
AR - 72727"
1408000,0500068,Emerson-Taylor School District,"508 W Main
Emerson
AR - 71740"
4302000,0505850,England School District,"501 Pine Bluff Hwy
England
AR - 72046"
0802000,0505970,Eureka Springs School District,"147 Greenwood Hollow Rd
Eureka Springs
AR - 72632"
7202000,0506090,Farmington School District,"42 S Double Springs Rd
Farmington
AR - 72730"
7203000,0506120,Fayetteville School District,"1000 W Stone St
Fayetteville
AR - 72701"
4501000,0506150,Flippin School District,"210 Alford St
Flippin
AR - 72634"
2002000,0506210,Fordyce School District,"104 College St
Fordyce
AR - 71742"
4102000,0506240,Foreman School District,"603 Dollarhide
Foreman
AR - 71836"
6201000,0506270,Forrest City School District,"845 N Rosser
Forrest City
AR - 72335"
6601000,0506330,Fort Smith School District,"3205 Jenny Lind Rd
Fort Smith
AR - 72901"
4603000,0506360,Fouke School District,"200 N Davis
Fouke
AR - 71837"
2602000,0506420,Fountain Lake School District,"4207 Park Ave
Hot Springs
AR - 71901"
4602000,0504110,Genoa Central School District,"12472 St Hwy 196
Texarkana
AR - 71854"
0403000,0506540,Gentry School District,"201 S Giles Ave
Gentry
AR - 72734"
3002000,0506630,Glen Rose School District,"14334 Hwy 67
Malvern
AR - 72104"
4708000,0500029,Gosnell School District,"600 Hwy 181
Gosnell
AR - 72315"
0404000,0506840,Gravette School District,"609 Birmingham Se
Gravette
AR - 72736"
0803000,0506870,Green Forest School District,"400 E Tenth St
Green Forest
AR - 72638"
2303000,0506900,Greenbrier School District,"4 School Dr
Greenbrier
AR - 72058"
2807000,0513080,Greene Co. Tech School Dist.,"5413 W Kingshighway
Paragould
AR - 72450"
7204000,0506930,Greenland School District,"10 N Main
Greenland
AR - 72737"
6602000,0506990,Greenwood School District,"420 N Main
Greenwood
AR - 72936"
1003000,0507110,Gurdon School District,"1 Go-Devil Rd
Gurdon
AR - 71743"
2304000,0507140,Guy-Perkins School District,"492 Hwy 25 N
Guy
AR - 72061"
6603000,0507170,Hackett School District,"102 N Oak St
Hackett
AR - 72937"
0203000,0500042,Hamburg School District,"202 E Parker St
Hamburg
AR - 71646"
0701000,0507230,Hampton School District,"455 E Main St
Hampton
AR - 71744"
5205000,0507290,Harmony Grove School District,"401 Ouachita Rd 88
Camden
AR - 71701"
6304000,0507320,Harmony Grove School District,"2621 Hwy 229
Benton
AR - 72015"
5602000,0507350,Harrisburg School District,"207 W Estes St
Harrisburg
AR - 72432"
0503000,0507380,Harrison School District,"110 S Cherry
Harrison
AR - 72601"
5903000,0507530,Hazen School District,"477 N Hazen Ave
Hazen
AR - 72064"
1202000,0507560,Heber Springs School District,"1100 W Pine St
Heber Springs
AR - 72543"
5803000,0507620,Hector School District,"11520 Sr 27
Hector
AR - 72843"
5403000,0507680,Helena/ W.Helena School Dist.,"305 Valley Dr
Helena
AR - 72342"
0601000,0507710,Hermitage School District,"310 N School Dr
Hermitage
AR - 71647"
6804000,0507770,Highland School District,"1627 Hwy 62/412
Hardy
AR - 72542"
3809000,0500071,Hillcrest School District,"146 S Main St
Strawberry
AR - 72469"
2903000,0507840,Hope School District,"117 E Second
Hope
AR - 71801"
6703000,0507860,Horatio School District,"205 Isbell St
Horatio
AR - 71842"
2603000,0507890,Hot Springs School District,"400 Linwood Ave
Hot Springs
AR - 71913"
3804000,0507990,Hoxie School District,"305 Sw Alice St
Hoxie
AR - 72433"
4401000,0508130,Huntsville School District,"570 W Main
Huntsville
AR - 72740"
3306000,0500021,Izard Co. Cons. School Dist.,"5068 N Ar 9
Brockwell
AR - 72517"
3405000,0513230,Jackson Co. School District,"300 N Dowell
Tuckerman
AR - 72473"
6004000,0500419,Jacksonville North Pulaski School District,"1414 W Main
Jacksonville
AR - 72076"
5102000,0508240,Jasper School District,"600 School St
Jasper
AR - 72641"
